location-long,location-lat,timestamp
34.4442912,-118.75465390000001,1973-03-23
34.811660100000005,-119.14760279999999,1973-07-23
34.811660100000005,-119.14760279999999,1973-09-05
34.811660100000005,-119.14760279999999,1974-02-01
34.811660100000005,-119.14760279999999,1974-06-14
34.6617343,-118.92391200000002,1974-07-14
34.5868315,-119.27916529999999,1974-12-23
34.4867983,-118.90990020000001,1975-02-16
34.811660100000005,-119.14760279999999,1975-04-15
34.811660100000005,-119.14760279999999,1975-08-17
34.661099,-119.9379158,1975-09-13
34.8552506,-118.79928590000002,1975-10-15
32.784316100000005,-116.020174,1976-02-10
32.784316100000005,-116.020174,1976-02-10
32.784316100000005,-116.020174,1976-02-10
32.784316100000005,-116.020174,1976-02-10
32.784316100000005,-116.020174,1976-02-10
32.784316100000005,-116.020174,1976-02-10
34.4867983,-118.90990020000001,1976-04-04
34.4867983,-118.90990020000001,1976-04-04
34.4867983,-118.90990020000001,1976-04-04
34.4867983,-118.90990020000001,1976-04-04
34.4867983,-118.90990020000001,1976-04-04
34.4867983,-118.90990020000001,1976-04-04
34.4867983,-118.90990020000001,1976-04-04
34.4867983,-118.90990020000001,1976-04-04
34.4867983,-118.90990020000001,1976-04-04
34.4867983,-118.90990020000001,1976-04-04
34.4867983,-118.90990020000001,1976-04-04
34.4867983,-118.90990020000001,1976-04-04
34.4867983,-118.90990020000001,1976-04-05
34.4867983,-118.90990020000001,1976-04-05
34.9385779,-118.8658905,1976-08-04
36.0399036,-118.8581872,1976-08-22
36.0399036,-118.8581872,1976-08-23
36.0399036,-118.8581872,1976-08-24
36.0399036,-118.8581872,1976-08-25
36.0399036,-118.8581872,1976-08-26
36.2621555,-118.7679449,1976-09-19
36.2621555,-118.7679449,1976-09-26
34.4867983,-118.90990020000001,1976-10-07
34.4867983,-118.90990020000001,1976-10-07
34.4867983,-118.90990020000001,1976-10-07
34.4867983,-118.90990020000001,1976-10-07
34.811660100000005,-119.14760279999999,1976-10-17
34.827226399999994,-118.867811,1976-10-21
34.7720757,-118.742981,1976-11-22
34.945926799999995,-118.8253784,1976-12-04
34.4867983,-118.90990020000001,1977-01-16
34.4867983,-118.90990020000001,1977-02-20
34.4867983,-118.90990020000001,1977-02-20
34.75673270000001,-118.79550929999999,1977-03-05
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
36.2621555,-118.7679449,1977-06-04
34.931541499999994,-118.92786029999999,1977-06-17
34.811660100000005,-119.14760279999999,1977-08-20
34.811660100000005,-119.14760279999999,1977-08-21
34.811660100000005,-119.14760279999999,1977-08-21
34.811660100000005,-119.14760279999999,1977-08-22
34.44117670000001,-118.6823845,1977-09-29
34.4442912,-118.75465390000001,1978-04-24
35.248233299999995,-120.43535,1978-05-20
34.811660100000005,-119.14760279999999,1978-08-14
34.811660100000005,-119.14760279999999,1978-08-16
34.813768200000005,-119.16614560000001,1978-08-23
34.811660100000005,-119.14760279999999,1978-09-02
35.353216100000004,-117.9629517,1978-10-05
34.945926799999995,-118.8253784,1978-10-16
34.994003799999994,-118.6502838,1978-10-17
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.811660100000005,-119.14760279999999,1978-10-21
34.811660100000005,-119.14760279999999,1978-10-21
34.811660100000005,-119.14760279999999,1978-10-21
34.811660100000005,-119.14760279999999,1978-10-21
34.811660100000005,-119.14760279999999,1978-10-21
34.811660100000005,-119.14760279999999,1978-10-21
34.811660100000005,-119.14760279999999,1978-10-21
34.811660100000005,-119.14760279999999,1978-10-21
34.811660100000005,-119.14760279999999,1978-10-21
34.811660100000005,-119.14760279999999,1978-10-21
34.811660100000005,-119.14760279999999,1978-10-21
34.811660100000005,-119.14760279999999,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.945926799999995,-118.8253784,1978-10-21
34.811660100000005,-119.14760279999999,1978-10-21
34.811660100000005,-119.14760279999999,1978-10-21
34.811660100000005,-119.14760279999999,1978-10-21
34.811660100000005,-119.14760279999999,1978-10-21
34.811660100000005,-119.14760279999999,1978-10-21
34.811660100000005,-119.14760279999999,1978-10-21
34.811660100000005,-119.14760279999999,1978-10-21
34.811660100000005,-119.14760279999999,1978-10-21
34.811660100000005,-119.14760279999999,1978-10-21
34.811660100000005,-119.14760279999999,1978-10-21
34.811660100000005,-119.14760279999999,1978-10-21
34.811660100000005,-119.14760279999999,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
34.8735297,-118.8943863,1978-10-21
